LA Email,Slack User Account Email,Student,Question: Slack Question Name,Class,Program Name To Lookup,Topic,Type,Week #,Session Number,Question Status,Dismissed Reason,Student Rating,Length of Exchange LA,Length of Exchange Student,Length of Exchange Total,Question Id,Question: ID,Question Created Time,Question First Claimed Time,Question First Response Time,Question Resolved Time,Time To First Claimed (Minutes),Time To First Response (Minutes),Time To Most Recent Claimed (Minutes),Time To Resolution (Minutes),Zoom Request Sent,Zoom Request Accepted,Zoom Call Start Time,Zoom Call End Time,Zoom Call Duration,Zoom Call ID,GroupByHour
dh@company.com,ma@email.com,student,SQ-61,class,dvo,SQL,Online Lesson,6,7.1,Resolved,,,8,7,15,169477,a4z6S000002unS2,7/26/2022 4:16 PM,7/26/2022 4:18 PM,7/26/2022 4:19 PM,7/26/2022 4:27 PM,1.5,2.68,1.5,10.33,0,0,,,,,16
cc@company.com,an@email.com,student,SQ-62,class,dvo,"Module 13 -css, logic, js, geojson, json",Assignment,22,22.1,Closed,Question Not Valid,,7,3,10,169506,a4z6S000002unUS,7/26/2022 5:42 PM,7/26/2022 6:02 PM,7/26/2022 6:02 PM,,19.82,20.05,19.82,,0,0,,,,,17
cs@company.com,la@email.com,student,SQ-63,class,dvo,Python Sclearn,Assignment,17,17.1,Resolved,,5,17,20,37,169509,a4z6S000002unUh,7/26/2022 5:48 PM,7/26/2022 5:58 PM,7/26/2022 5:58 PM,7/26/2022 6:20 PM,10.03,10.27,10.03,32.05,0,0,,,,,17
js@company.com,sh@email.com,student,SQ-64,class,dvo,Python,Assignment,6,7.1,Resolved,,,17,12,29,169505,a4z6S000002unUN,7/26/2022 5:41 PM,7/26/2022 5:52 PM,7/26/2022 5:52 PM,7/26/2022 6:11 PM,10.95,11.32,10.95,30,0,0,,,,,17
dh@company.com,ni@email.com,student,SQ-65,class,dvo,SQL,Assignment,6,7.1,Resolved,,,31,30,61,169500,a4z6S000002unTy,7/26/2022 5:32 PM,7/26/2022 5:38 PM,7/26/2022 5:39 PM,7/26/2022 6:34 PM,5.4,6.5,5.4,62.2,0,0,,,,,17
,ma@email.com,student,SQ-66,class,dvo,Python,Assignment,6,7.1,Closed,Student Canceled,,,,0,169507,a4z6S000002unUX,7/26/2022 5:43 PM,,,,,,,,0,0,,,,,17
kv@company.com,be@email.com,student,SQ-67,class,dvo,Python APIs,Online Lesson,7,8.1,Resolved,,,30,22,52,169496,a4z6S000002unTZ,7/26/2022 5:06 PM,7/26/2022 5:08 PM,7/26/2022 5:09 PM,7/26/2022 6:24 PM,1.42,2.48,55.6,77.78,1,1,,,,971-5037-8900,17
mm@company.com,ra@email.com,student,SQ-68,class,dvo,jupyter,Online Lesson,6,7.1,Resolved,,5,4,6,10,169502,a4z6S000002unU8,7/26/2022 5:37 PM,7/26/2022 5:38 PM,7/26/2022 5:38 PM,7/26/2022 5:45 PM,0.5,1.08,0.5,7.58,0,0,,,,,17
k@company.com,le@email.com,student,SQ-69,class,dv,VBA,Assignment,2,3.1,Resolved,,5,6,7,13,169499,a4z6S000002unTt,7/26/2022 5:26 PM,7/26/2022 5:26 PM,7/26/2022 5:27 PM,7/26/2022 5:59 PM,0.22,0.8,0.22,32.72,1,1,,,,971-7676-3715,17
mme@company.com,ab@email.com,student,SQ-70,class,dvo,pgAdmin4 - INTERNAL SERVER ERROR 'columns',Online Lesson,6,7.1,Resolved,,,15,9,24,169504,a4z6S000002unUI,7/26/2022 5:40 PM,7/26/2022 5:45 PM,7/26/2022 5:46 PM,7/26/2022 6:18 PM,5.52,5.9,19.17,37.88,1,1,,,,966-4877-4485,17
mk@company.com,th@email.com,student,SQ-71,class,dvo,SQL - Primary & Foreign Keys - Lesson 7.1.5,Online Lesson,6,7.1,Resolved,,,17,12,29,169501,a4z6S000002unU3,7/26/2022 5:35 PM,7/26/2022 5:37 PM,7/26/2022 5:37 PM,7/26/2022 6:13 PM,2.32,2.53,2.32,38.78,0,0,,,,,17
dh@company.com,th@email.com,student,SQ-72,class,dvo,SQL - Primary & Foreign Keys,Online Lesson,6,7.1,Resolved,,5,13,6,19,169495,a4z6S000002unTU,7/26/2022 5:02 PM,7/26/2022 5:03 PM,7/26/2022 5:04 PM,7/26/2022 5:13 PM,0.92,1.72,0.92,10.33,0,0,,,,,17
ct@company.com,ac@email.com,student,SQ-73,class,fbo,combining columns without common index at # row,Assignment,24,24.1,Resolved,,1,28,40,68,169511,a4z6S000002unUr,7/26/2022 6:11 PM,7/26/2022 6:11 PM,7/26/2022 6:11 PM,7/26/2022 6:34 PM,0.27,0.85,0.27,23.67,0,0,,,,,18
mme@company.com,ch@email.com,student,SQ-74,class,dvo,Splinter,Online Lesson,17,17.1,Resolved,,,23,20,43,169517,a4z6S000002unVL,7/26/2022 6:15 PM,7/26/2022 6:18 PM,7/26/2022 6:19 PM,7/26/2022 6:40 PM,3.62,3.85,3.62,25.68,0,0,,,,,18
dh@company.com,an@email.com,student,SQ-75,class,dvo,"Java, html",Online Lesson,13,13.1,Resolved,,,6,7,13,169533,a4z6S000002unWd,7/26/2022 6:53 PM,7/26/2022 6:54 PM,7/26/2022 6:54 PM,7/26/2022 7:10 PM,0.48,0.85,0.48,16.8,1,1,,,,955-3955-9516,18
cs@company.com,ju@email.com,student,SQ-76,class,dvo,Github push,Online Lesson,13,13.1,Resolved,,5,14,17,31,169519,a4z6S000002unVV,7/26/2022 6:17 PM,7/26/2022 6:20 PM,7/26/2022 6:21 PM,7/26/2022 6:40 PM,3.78,3.98,3.78,23.57,0,0,,,,,18
ct@company.com,da@email.com,student,SQ-77,class,ft,Python,Assignment,7,7.3,Resolved,,,24,12,36,169530,a4z6S000002unWO,7/26/2022 6:44 PM,7/26/2022 6:44 PM,7/26/2022 6:45 PM,7/26/2022 7:17 PM,0.47,0.88,0.47,32.95,0,0,,,,,18
js@company.com,sa@email.com,student,SQ-78,class,dv,"sql, pgadmin4",Online Lesson,7,8.1,Resolved,,,48,28,76,169516,a4z6S000002unVG,7/26/2022 6:15 PM,7/26/2022 6:18 PM,7/26/2022 6:18 PM,7/26/2022 7:13 PM,3.23,3.65,3.23,58.23,0,0,,,,,18
cc@company.com,se@email.com,student,SQ-79,class,dvo,Module 4 Assignment,Assignment,4,5.1,Resolved,,,22,10,32,169520,a4z6S000002unVa,7/26/2022 6:19 PM,7/26/2022 6:22 PM,7/26/2022 6:22 PM,7/26/2022 6:37 PM,2.98,3.65,2.98,17.95,0,0,,,,,18
cc@company.com,ra@email.com,student,SQ-80,class,dvo,jupyter,Online Lesson,6,7.1,Resolved,,5,15,9,24,169532,a4z6S000002unWY,7/26/2022 6:51 PM,7/26/2022 6:51 PM,7/26/2022 6:51 PM,7/26/2022 7:04 PM,0.5,0.73,0.5,13.02,0,0,,,,,18
mme@company.com,ma@email.com,student,SQ-81,class,dv,Module 8 Challenge,Assignment,9,9.1,Closed,Activity Timeout,,9,7,16,169528,a4z6S000002unWE,7/26/2022 6:41 PM,7/26/2022 6:43 PM,7/26/2022 6:43 PM,,1.82,2.12,1.82,,1,1,,,,920-4366-3556,18
cc@company.com,ti@email.com,student,SQ-82,class,dv,Module 1 Excel challenge,Assignment,2,3.2,Closed,Question Not Valid,,8,3,11,169518,a4z6S000002unVQ,7/26/2022 6:15 PM,7/26/2022 6:16 PM,7/26/2022 6:17 PM,,1.02,1.82,1.02,,0,0,,,,,18
kv@company.com,jo@email.com,student,SQ-83,class,dvo,"SQL, Module 7, Deliverable 1",Assignment,6,7.1,Resolved,,5,38,28,66,169524,a4z6S000002unVu,7/26/2022 6:28 PM,7/26/2022 6:35 PM,7/26/2022 6:37 PM,7/26/2022 7:07 PM,6.43,8.28,6.43,38.57,0,0,,,,,18
ct@company.com,ac@email.com,student,SQ-84,class,fbo,"help combining columns (time series, data column)",Other,24,24.1,Closed,Question Not Valid,,2,10,12,169537,a4z6S000002unWx,7/26/2022 7:08 PM,7/26/2022 7:19 PM,7/26/2022 7:20 PM,,10.93,11.4,10.93,,0,0,,,,,19
dh@company.com,jo@email.com,student,SQ-85,class,dvo,pandas,Assignment,22,22.1,Resolved,,,9,12,21,169539,a4z6S000002unX7,7/26/2022 7:12 PM,7/26/2022 7:13 PM,7/26/2022 7:14 PM,7/26/2022 7:26 PM,0.75,1.75,0.75,13.77,0,0,,,,,19
cc@company.com,ra@email.com,student,SQ-86,class,dvo,Module 12.4.3,Online Lesson,17,17.1,Resolved,,,36,24,60,169535,a4z6S000002unWn,7/26/2022 7:00 PM,7/26/2022 7:06 PM,7/26/2022 7:06 PM,7/26/2022 7:38 PM,5.53,5.67,5.53,37.92,1,1,,,,343-793-0735,19
